person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
22,71948,0,35000,16.02,0.49,3,561,1
21,12282,0,1000,11.14,0.08,2,504,0
25,12438,3,5500,12.87,0.44,3,635,1
23,79753,0,35000,15.23,0.44,2,675,1
24,66135,1,35000,14.27,0.53,4,586,1
21,12951,0,2500,7.14,0.19,2,532,1
26,93471,1,35000,12.42,0.37,3,701,1
24,95550,5,35000,11.11,0.37,4,585,1
24,100684,3,35000,8.9,0.35,2,544,1
21,12739,0,1600,14.74,0.13,3,640,1
22,102985,0,35000,10.37,0.34,4,621,1
21,13113,0,4500,8.63,0.34,2,651,1
23,114860,3,35000,7.9,0.3,2,573,1
26,130713,0,35000,18.39,0.27,4,708,1
23,138998,0,35000,7.9,0.25,4,583,0
23,600891,5,30000,10.65,0.05,3,670,0
23,144943,0,35000,7.9,0.24,4,663,0
23,111369,0,35000,20,0.31,4,694,1
23,136628,0,35000,18.25,0.26,4,709,1
24,14283,1,1750,10.99,0.12,2,679,1
25,195718,0,35000,7.49,0.18,4,684,0
25,165792,4,34800,16.77,0.21,2,662,0
22,79255,0,34000,17.58,0.43,4,691,1
24,13866,0,1500,7.29,0.11,3,600,0
22,97420,1,33950,14.54,0.35,4,691,1
24,82443,0,33000,12.68,0.4,3,654,1
21,14288,0,4575,17.74,0.32,3,626,1
23,14293,0,1400,9.32,0.1,3,607,0
24,79054,1,32500,9.99,0.41,3,700,1
21,14988,0,4000,12.84,0.27,2,553,1
21,14858,0,2000,11.12,0.13,3,589,1
25,144855,1,32000,6.62,0.22,2,586,0
26,114645,2,31050,14.17,0.27,3,681,1
25,368115,3,24250,13.85,0.07,3,567,0
26,361076,1,7800,13.49,0.02,4,669,0
21,15150,0,2500,7.51,0.17,4,600,1
22,58868,0,30000,18.39,0.51,2,606,1
24,78026,3,30000,14.54,0.38,3,582,1
25,90785,4,30000,16.89,0.33,4,649,1
23,86811,0,30000,11.01,0.35,4,602,1
26,75503,5,30000,17.99,0.4,2,616,1
24,15082,0,2500,12.69,0.17,3,631,1
26,361293,5,20000,7.88,0.06,4,684,0
23,361547,0,24250,19.41,0.07,2,637,0
26,360680,5,10000,10.38,0.03,4,649,0
26,360977,5,25000,15.33,0.07,3,695,0
25,361244,2,18000,16.45,0.05,3,620,0
26,98230,2,30000,7.49,0.31,3,622,1
22,80838,0,30000,12.69,0.37,3,645,1
26,107957,2,30000,6.62,0.28,3,654,1
24,94649,2,30000,11.01,0.32,4,624,1
23,94550,1,30000,18.62,0.32,3,570,1
23,111153,3,30000,15.23,0.27,3,648,1
23,117250,0,30000,10.65,0.26,2,652,1
25,144985,3,30000,7.9,0.21,4,559,0
26,337133,7,10000,15.96,0.03,3,623,0
26,333566,2,20000,11.48,0.06,3,602,0
23,333399,1,35000,11.01,0.1,4,609,0
25,154793,1,30000,7.29,0.19,4,573,0
24,15229,1,1750,11.01,0.11,3,631,0
21,158338,0,30000,5.99,0.19,4,623,0
22,331034,0,12000,11.58,0.04,2,602,0
26,316466,6,10000,11.01,0.03,4,579,1
25,267671,0,25000,15.7,0.09,2,582,1
22,85191,0,29100,15.99,0.34,3,700,1
22,15013,0,1500,14.84,0.1,3,688,0
26,313100,3,28000,10.99,0.09,3,607,0
25,311952,0,20000,14.42,0.06,2,661,0
24,306897,5,9600,6.99,0.03,2,562,0
25,301136,0,25000,13.49,0.08,4,664,0
25,15162,1,3000,11.01,0.2,3,564,1
22,69042,0,28000,11.01,0.41,2,598,1
21,15307,0,3000,13.61,0.2,3,557,1
23,79183,0,28000,7.9,0.35,2,677,1
26,102654,4,28000,7.49,0.27,3,690,1
26,15229,1,6100,7.51,0.4,3,599,1
22,106566,0,28000,9.91,0.26,3,604,1
21,15252,0,4200,13.48,0.28,4,663,1
22,15432,3,4750,7.14,0.31,2,601,1
24,100332,1,28000,15.99,0.28,4,634,1
24,300951,2,18000,12.98,0.06,3,671,0
144,300616,125,4800,13.57,0.02,3,789,0
25,121062,1,28000,12.69,0.23,3,622,0
26,133372,1,28000,8.9,0.21,2,538,0
26,15505,0,2700,11.01,0.17,4,587,1
22,130852,0,28000,11.01,0.21,4,683,1
23,182316,0,28000,11.11,0.15,2,634,0
24,83853,3,27600,11.01,0.33,2,690,1
21,15394,0,3250,15.68,0.21,3,518,1
22,85243,0,27500,13.06,0.32,3,583,1
22,288907,2,25000,11.01,0.09,2,617,0
26,89074,4,27050,15.62,0.3,2,668,1
24,100509,2,27000,13.49,0.27,2,673,1
24,88950,3,27000,11.01,0.3,3,706,1
23,75894,1,26000,11.71,0.34,2,536,1
23,145092,0,25600,12.69,0.18,3,557,0
24,15928,1,1600,13.57,0.1,3,689,0
22,73131,3,25475,10.99,0.35,3,681,1
25,281501,4,20000,14.27,0.07,4,623,0
24,281775,0,20000,8.88,0.07,4,595,0
26,281792,1,21600,12.18,0.08,3,584,0
25,266090,4,11900,14.42,0.04,3,669,1
26,279664,3,25000,14.17,0.09,2,642,0
25,277017,4,35000,13.99,0.13,4,622,0
23,100756,0,25300,10.99,0.25,3,689,1
22,16218,1,2000,5.42,0.12,4,614,1
25,16211,2,1750,13.61,0.11,3,597,0
21,51922,3,25000,12.73,0.48,3,673,1
24,50309,3,25000,11.01,0.5,3,625,1
25,16378,0,3000,12.87,0.18,4,603,1
24,16572,0,3650,9.91,0.22,3,589,1
26,272201,5,20000,11.49,0.07,4,670,0
25,271324,3,30000,19.91,0.11,2,637,0
26,256862,2,35000,10.65,0.14,2,643,1
24,271342,0,6000,11.01,0.02,4,508,0
24,16470,2,4500,11.83,0.27,4,643,1
23,16599,0,2400,13.49,0.14,2,505,1
22,51608,0,25000,14.59,0.48,2,593,1
26,58516,6,25000,9.64,0.43,4,686,1
25,16395,4,3600,14.59,0.22,3,646,1
22,16890,0,4750,11.01,0.28,3,645,1
25,51747,3,25000,16.35,0.48,3,697,1
21,59864,0,25000,10.99,0.42,2,648,1
25,270972,1,25000,18.67,0.09,2,640,0
26,270870,5,3000,9.32,0.01,4,681,0
23,270729,0,7500,8.63,0.03,2,646,0
26,270877,4,25000,10.08,0.09,2,615,0
22,60501,0,25000,11.83,0.41,3,687,1
23,60754,1,25000,7.9,0.41,3,650,1
25,60829,0,25000,5.99,0.41,2,588,1
24,53825,2,25000,15.33,0.46,2,652,1
23,60801,0,25000,11.83,0.41,4,658,1
22,60747,0,25000,10.36,0.41,2,634,1
22,61029,0,25000,12.23,0.41,3,623,1
22,63236,0,25000,11.11,0.4,4,635,1
23,17149,0,4950,7.9,0.29,4,531,1
24,265066,4,25000,11.58,0.09,2,665,0
23,260205,2,21000,8.9,0.08,3,703,0
25,260035,5,25000,16.07,0.1,3,585,0
26,260444,4,20000,14.22,0.08,2,594,0
23,258980,0,35000,14.79,0.14,3,618,0
26,259081,2,12000,7.88,0.05,2,626,0
23,63497,0,25000,13.22,0.39,2,695,1
26,56325,2,25000,11.86,0.44,4,690,1
22,64842,0,25000,13.43,0.39,4,574,1
26,57856,0,25000,15.28,0.43,2,602,1
23,57318,0,25000,17.93,0.44,2,679,1
23,16916,2,1400,9.25,0.08,4,615,0
21,16664,0,4500,12.98,0.27,4,601,1
22,252803,0,16000,10.62,0.06,4,577,0
26,253061,3,22000,11.83,0.09,4,588,0
26,58602,8,25000,18.43,0.43,2,595,1
22,67012,2,25000,11.01,0.37,4,653,1
24,66643,3,25000,11.01,0.38,4,663,1
23,66599,0,25000,11.36,0.38,3,653,1
23,67212,2,25000,15.65,0.37,3,598,1
24,66918,1,25000,13.22,0.37,4,630,1
26,68066,2,25000,12.87,0.37,2,637,1
24,245545,1,20000,13.04,0.08,3,660,0
23,229083,0,22000,17.58,0.1,3,639,1
23,17859,0,7750,17.04,0.43,4,626,1
24,72608,3,25000,10.99,0.34,3,612,1
24,73073,1,25000,11.11,0.34,3,628,1
26,65880,2,25000,14.83,0.38,2,592,1
23,17755,1,4000,11.01,0.23,3,580,1
24,241180,3,12000,12.69,0.05,2,634,0
24,240894,3,12000,13.49,0.05,2,678,0
21,240980,0,16000,14.65,0.07,4,557,0
25,65742,3,25000,16.82,0.38,4,672,1
23,72713,0,25000,12.73,0.34,3,613,1
23,72627,3,25000,10.25,0.34,4,566,1
21,72843,0,25000,10.99,0.34,4,718,1
25,75504,4,25000,12.73,0.33,2,484,1
22,68824,0,25000,14.96,0.36,3,634,1
23,241167,2,28000,11.01,0.12,2,653,0
21,241060,0,25000,13.99,0.1,2,699,0
24,240855,0,24000,7.49,0.1,4,656,0
26,241030,3,15000,14.79,0.06,3,626,0
25,240895,2,15500,11.99,0.06,2,659,0
24,240932,4,10000,8.49,0.04,4,604,0
24,80145,1,25000,9.91,0.31,2,636,1
22,80303,0,25000,13.06,0.31,3,554,1
22,241048,0,9000,6.17,0.04,4,587,0
144,241424,121,6000,11.86,0.02,2,807,0
25,241005,4,18000,16.32,0.07,3,708,0
25,240768,2,12000,10.38,0.05,2,669,0
25,241201,2,23050,14.35,0.1,3,578,0
24,240920,5,20000,11.01,0.08,3,615,0
24,72919,1,25000,11.01,0.34,2,553,1
21,18008,0,3000,11.01,0.17,4,635,1
26,81238,3,25000,15.21,0.31,2,531,1
23,80868,1,25000,7.9,0.31,4,621,1
24,81537,1,25000,10.99,0.31,3,674,1
24,82741,0,25000,14.09,0.3,3,688,1
25,83901,3,25000,17.49,0.3,2,597,1
25,240717,1,12000,11.48,0.05,3,640,0
26,226744,0,20000,17.74,0.09,2,621,1
26,241114,5,3000,13.92,0.01,3,608,0
25,85284,3,25000,15.21,0.29,3,653,1
22,18152,0,4000,10.99,0.22,3,585,1
24,84871,3,25000,11.86,0.29,4,569,1
24,18294,2,6000,7.49,0.33,3,587,1
24,68029,1,25000,16.49,0.37,4,631,1
25,80001,4,25000,15.33,0.31,2,592,1
26,79875,6,25000,11.58,0.31,4,679,1
25,18449,1,5375,5.79,0.29,2,645,1
25,88153,0,25000,13.11,0.28,2,669,1
23,90109,0,25000,10.36,0.28,3,653,1
25,90938,1,25000,10.36,0.27,2,577,1
24,231335,0,22000,11.01,0.1,2,668,0
21,231829,0,20000,6.54,0.09,4,629,0
25,230516,4,10000,12.53,0.04,4,643,0
26,229626,0,15000,11.01,0.07,3,626,0
22,228907,0,10000,11.01,0.04,3,560,0
24,90938,0,25000,10.25,0.27,4,648,1
22,86284,0,25000,15.95,0.29,4,648,1
26,228774,3,20000,12.18,0.09,4,669,0
23,229027,2,24000,11.83,0.1,3,536,0
23,94789,1,25000,11.01,0.26,2,548,1
23,94780,0,25000,10.62,0.26,3,667,1
23,95298,0,25000,10.74,0.26,3,676,1
25,223944,1,10000,10.25,0.04,4,570,0
24,222629,0,35000,12.42,0.16,2,623,0
25,222973,2,15000,15.27,0.07,2,652,0
24,75240,1,25000,15.33,0.33,2,625,1
23,96143,1,25000,15.21,0.26,2,642,1
21,18064,0,6250,14.72,0.35,2,580,1
24,96627,2,25000,15.7,0.26,2,622,1
24,96309,3,25000,13.35,0.26,4,581,1
21,18421,1,1500,11.01,0.08,4,623,0
24,96836,1,25000,6.62,0.26,2,583,1
26,96947,4,25000,13.61,0.26,4,645,1
22,222975,2,25000,11.36,0.11,2,593,0
26,222985,3,5000,7.68,0.02,2,659,0
24,223064,0,22000,14.46,0.1,4,655,0
23,221559,2,2500,11.83,0.01,2,583,0
24,207712,0,20000,13.47,0.1,4,582,1
24,220872,1,20000,11.49,0.09,3,504,0
22,220518,0,1000,11.01,0,2,551,0
25,220510,1,15000,6.03,0.07,3,529,0
23,89818,0,25000,16.35,0.28,4,674,1
26,90006,4,25000,11.01,0.28,4,595,1
25,98704,6,25000,7.29,0.25,3,597,1
23,98967,5,25000,11.36,0.25,3,566,1
24,99435,3,25000,10.25,0.25,2,666,0
24,100658,1,25000,11.12,0.25,3,695,0
24,100435,2,25000,12.92,0.25,3,576,0
24,216925,5,18000,18.64,0.08,4,651,0
23,216891,0,28000,7.51,0.13,3,633,0
23,18512,1,4000,16.7,0.22,2,566,1
22,18367,0,2100,11.14,0.11,4,583,0
22,102317,0,25000,18.3,0.24,4,586,0
24,103400,4,25000,10.62,0.24,4,592,0
24,217134,2,14000,11.99,0.06,2,598,0
26,217024,1,12000,9.63,0.06,4,637,0
25,172215,5,10000,18.25,0.06,4,628,1
23,18831,0,6000,11.01,0.32,4,667,1
24,105349,5,25000,14.84,0.24,3,621,0
